gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2710194479	216	31.98	45	216	4	155	3.0e-28	118	COG1225	Peroxiredoxin	157
2710194480	183	73.08	2	183	1	179	5.0e-71	260	COG4843	Uncharacterized protein YebE, UPF0316 family	179
2710194482	159	71.7	1	159	4	160	4.0e-64	237	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	162
2710194483	386	49.86	11	365	1	357	0.0e+00	474	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	375
2710194484	431	52.52	1	429	1	436	0.0e+00	571	COG0015	Adenylosuccinate lyase	438
2710194485	241	59.57	1	234	1	235	5.0e-86	310	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	247
2710194486	84	56.79	1	80	1	81	6.0e-22	95.6	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	83
2710194487	228	58.33	1	219	3	229	6.0e-93	333	COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	231
2710194488	744	51.87	1	734	2	743	0.0e+00	937	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
2710194489	473	60.3	8	471	1	467	0.0e+00	683	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
2710194490	342	62.02	1	337	2	337	0.0e+00	489	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	345
2710194491	191	48.09	4	186	3	185	5.0e-64	236	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	200
2710194492	511	60.12	3	511	3	515	0.0e+00	747	COG0138	AICAR transformylase/IMP cyclohydrolase PurH	515
2710194493	424	55.29	1	420	1	424	0.0e+00	555	COG0151	Phosphoribosylamine-glycine ligase	428
2710194495	579	30.63	2	577	1	584	0.0e+00	505	COG1001	Adenine deaminase	584
2710194497	99	73.47	1	98	1	98	1.0e-40	157	COG4496	Uncharacterized protein YerC	100
2710194498	228	37.93	1	228	10	239	5.0e-68	250	COG1646	Heptaprenylglyceryl phosphate synthase	240
2710194499	741	50.23	11	652	2	651	0.0e+00	676	COG0210	Superfamily I DNA or RNA helicase	655
2710194500	668	56.57	1	667	2	667	0.0e+00	934	COG0272	NAD-dependent DNA ligase	667
2710194501	383	42.38	1	383	1	382	1.0e-97	350	COG4851	Protein involved in sex pheromone biosynthesis	382
2710194503	529	46.05	10	529	17	541	0.0e+00	559	COG2225	Malate synthase	545
2710194504	426	72.98	2	426	1	433	0.0e+00	658	COG2224	Isocitrate lyase	433
2710194505	344	52.17	3	344	5	349	1.0e-125	443	COG0002	N-acetyl-gamma-glutamylphosphate reductase	349
2710194506	409	52.59	7	409	2	404	0.0e+00	511	COG1364	N-acetylglutamate synthase (N-acetylornithine aminotransferase)	404
2710194507	269	40.91	12	261	1	264	7.0e-56	210	COG0548	Acetylglutamate kinase	265
2710194508	386	52.21	1	379	14	398	0.0e+00	476	COG4992	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase	404
2710194509	354	44.72	1	350	2	368	2.0e-114	405	COG0505	Carbamoylphosphate synthase small subunit	368
2710194510	1022	62.5	13	404	1	391	0.0e+00	524	COG0458	Carbamoylphosphate synthase large subunit	400
2710194511	317	58.12	13	316	2	309	1.0e-130	459	COG0078	Ornithine carbamoyltransferase	310
2710194512	149	41.94	5	128	1	124	1.0e-29	122	COG5506	Uncharacterized protein YueI	144
2710194513	354	24.93	6	346	13	350	1.0e-41	164	COG3180	Uncharacterized membrane protein AbrB, regulator of aidB expression	352
2710194516	96	53.68	2	96	1	95	2.0e-25	107	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	96
2710194517	486	53.96	1	485	2	475	0.0e+00	555	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	475
2710194518	476	63.33	1	476	4	483	0.0e+00	744	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	483
2710194519	556	44.22	12	556	9	507	0.0e+00	464	COG3227	Zn-dependent metalloprotease	507
2710194526	265	19.93	2	242	4	253	2.0e-15	76.9	COG2162	Arylamine N-acetyltransferase	275
2710194527	304	48.5	1	299	2	301	6.0e-87	314	COG1597	Diacylglycerol kinase family enzyme	301
2710194529	101	29.87	1	75	2	78	4.0e-09	53	COG2329	Heme-degrading monooxygenase HmoA and related ABM domain proteins	105
2710194531	458	47.83	15	450	6	432	0.0e+00	481	COG2265	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	432
2710194533	65	69.84	1	63	1	63	2.0e-18	84.3	COG4895	Uncharacterized protein YwbE	63
