gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2710194482	159	100	1	159	1	159	5.1e-107	351	KO:K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	EC:5.4.99.18	
2710194483	386	100	1	386	1	386	0.0e+00	888	KO:K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	EC:6.3.4.18	
2710194484	431	100	1	431	1	431	0.0e+00	990	KO:K01756	adenylosuccinate lyase [EC:4.3.2.2]	EC:4.3.2.2	
2710194485	241	100	1	241	1	241	0.0e+00	544	KO:K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	EC:6.3.2.6	
2710194486	84	100	1	84	1	84	7.7e-53	189	KO:K23264	phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]	EC:6.3.5.3	
2710194487	228	100	1	228	1	228	0.0e+00	538	KO:K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	EC:3.5.1.2	
2710194487	228	100	1	228	1	228	0.0e+00	538	KO:K23265	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	EC:6.3.5.3	
2710194488	744	100	1	744	1	744	0.0e+00	1680	KO:K23269	phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]	EC:6.3.5.3	
2710194489	473	100	1	473	1	473	0.0e+00	1080	KO:K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	EC:2.4.2.14	
2710194490	342	100	1	342	1	342	0.0e+00	775	KO:K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	EC:6.3.3.1	
2710194491	191	100	1	191	1	191	0.0e+00	434	KO:K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	EC:2.1.2.2	
2710194492	511	100	1	511	1	511	0.0e+00	1140	KO:K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	EC:2.1.2.3	
