gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2710194479	216	44	216	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2710194479	216	45	216	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
2710194482	159	1	151	SMART	SM01001	IPR000031	Phosphoribosylaminoimidazole carboxylase PurE domain	GO:0006189
2710194482	159	2	158	SUPERFAMILY	SSF52255	IPR000031	Phosphoribosylaminoimidazole carboxylase PurE domain	GO:0006189
2710194483	386	311	378	SUPERFAMILY	SSF51246	IPR011054	Rudiment single hybrid motif	
2710194483	386	114	300	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
2710194483	386	10	106	SUPERFAMILY	SSF52440	IPR016185	Pre-ATP-grasp domain	
2710194483	386	109	304	SUPERFAMILY	SSF56059			
2710194484	431	3	427	SUPERFAMILY	SSF48557	IPR008948	L-Aspartase-like	GO:0003824
2710194484	431	349	429	SMART	SM00998	IPR019468	Adenylosuccinate lyase C-terminal	
2710194484	431	261	270	ProSitePatterns	PS00163	IPR020557	Fumarate lyase, conserved site	GO:0003824
2710194485	241	86	100	ProSitePatterns	PS01057	IPR018236	SAICAR synthetase, conserved site	GO:0004639|GO:0006164
2710194485	241	173	181	ProSitePatterns	PS01058	IPR018236	SAICAR synthetase, conserved site	GO:0004639|GO:0006164
2710194485	241	2	237	SUPERFAMILY	SSF56104			
2710194486	84	1	80	SUPERFAMILY	SSF82697			
2710194487	228	3	226	ProSiteProfiles	PS51273	IPR017926	Glutamine amidotransferase	
2710194487	228	1	220	SUPERFAMILY	SSF52317			
2710194488	744	205	430	SUPERFAMILY	SSF56042	IPR010918	AIR synthase-related protein, C-terminal domain	
2710194488	744	572	740	SUPERFAMILY	SSF56042	IPR010918	AIR synthase-related protein, C-terminal domain	
2710194488	744	18	201	SUPERFAMILY	SSF55326	IPR016188	PurM, N-terminal-like	GO:0003824
2710194488	744	398	570	SUPERFAMILY	SSF55326	IPR016188	PurM, N-terminal-like	GO:0003824
2710194489	473	12	230	ProSiteProfiles	PS51278	IPR017932	Glutamine amidotransferase type 2 domain	
2710194489	473	12	234	SUPERFAMILY	SSF56235			
2710194489	473	246	465	SUPERFAMILY	SSF53271			
2710194490	342	169	340	SUPERFAMILY	SSF56042	IPR010918	AIR synthase-related protein, C-terminal domain	
2710194490	342	3	167	SUPERFAMILY	SSF55326	IPR016188	PurM, N-terminal-like	GO:0003824
2710194491	191	134	157	ProSitePatterns	PS00373	IPR001555	Phosphoribosylglycinamide formyltransferase, active site	GO:0008168
